BANGKOK;Москва, ул. Садовая-Кудринская, 20;+7 (495) 234-40-75, +7 (495) 234-40-76, +7 (495) 234-40-74, +7 (495) 234-40-79;1 адресов;http://maps.yandex.ru/?text=BANGKOK&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
BAR & LOBBY LOUNGE
BAR FLY
BED CAFE;Москва, ул. Пресненский Вал, 6, стр. 2;+7 (499) 253-94-54, +7 (499) 790-06-03, +7 (495) 253-94-54;1 адресов;http://maps.yandex.ru/?text=BED+CAFE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
BEL MONDO;Москва, ул. Архитектора Власова, 47;+7 (499) 176-00-39, +7 (985) 763-24-87;1 адресов;http://maps.yandex.ru/?text=BEL+MONDO&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
BELLEZZA;Москва, ул. Красная Пресня, 23, стр. 1б;+7 (495) 774-83-53;1 адресов;http://maps.yandex.ru/?text=BELLEZZA&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
BIJOU;Москва, ул. Тверская, 17;+7 (495) 650-60-94, +7 (495) 650-48-32;2 адресов;http://maps.yandex.ru/?text=BIJOU&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
BIRRA NOSTRA;Москва, ул. Покровка, 21/25;+7 (495) 998-47-17;1 адресов;http://maps.yandex.ru/?text=BIRRA+NOSTRA&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
BISTROT;Москва, Саввинский Б. пер., 12, стр. 2;+7 (499) 246-90-10, +7 (499) 248-40-45, +7 (499) 246-91-98;1 адресов;http://maps.yandex.ru/?text=BISTROT&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
BLANCCAFE
BOBBY DAZZLER
BOCCONCINO
BOOKАФЕ
BOOZE BUB
BOSCO;Москва, пл. Красная, 3, ГУМ;+7 (495) 620-31-78, +7 (495) 620-31-77;28 адресов;http://maps.yandex.ru/?text=BOSCO&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
BOUCHON
BUBBLES;Москва, Слесарный пер., 5, эт. 3, оф. 307;+7 (499) 409-51-34, +7 (495) 276-18-90;4 адресов;http://maps.yandex.ru/?text=BUBBLES&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
BUDDIS
CAFE DES ARTISTES
CAFE SWISS;Москва, Космодамианская наб., 52, стр. 6;+7 (495) 221-53-50;1 адресов;http://maps.yandex.ru/?text=CAFE+SWISS&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
CANTINETTA ANTINORI;Москва, Денежный пер., 20;+7 (499) 241-33-25;1 адресов;http://maps.yandex.ru/?text=CANTINETTA+ANTINORI&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
CARRE BLANC
CARVEN;Москва, Краснопресненская наб., 1/2;+7 (495) 605-01-00;1 адресов;http://maps.yandex.ru/?text=CARVEN&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
CASA DEL VINO;Москва, Дровяной Б. пер., 7/9, стр. 1;+7 (495) 730-71-58, +7 (495) 730-78-10;1 адресов;http://maps.yandex.ru/?text=CASA+DEL+VINO&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
CASTLE KNIGHT;Москва, ул. Никитская Б., 58;+7 (495) 695-36-95;1 адресов;http://maps.yandex.ru/?text=CASTLE+KNIGHT&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
CASTLE ROSE;Москва, ул. 1905 года, 10, стр. 1;+7 (495) 999-21-98;1 адресов;http://maps.yandex.ru/?text=CASTLE+ROSE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
CAVIARTERRA
CHAPURIN BAR
CHICHIBIO;Москва, Козихинский Б. пер., 12/2;+7 (495) 650-44-10;1 адресов;http://maps.yandex.ru/?text=CHICHIBIO&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
CHINA CLUB;Москва, ул. Красина, 21;+7 (495) 232-27-78, +7 (495) 254-73-31;1 адресов;http://maps.yandex.ru/?text=CHINA+CLUB&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
CIEL
CIPOLLINO
CITY SPACE BAR & LOUNDGE
CLUB CHE;Москва, ул. Никольская, 10/2;+7 (495) 621-74-77, +7 (495) 621-06-68;1 адресов;http://maps.yandex.ru/?text=CLUB+CHE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
COFFE & SUSHI TERRA
COFFEE BEAN;Москва, ул. Пятницкая, 5;+7 (495) 953-67-26;6 адресов;http://maps.yandex.ru/?text=COFFEE+BEAN&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
COFFEE CHERRY;Московская обл., Одинцовский р-н, Одинцово г., ул. Маршала Жукова, 41а;+7 (495) 596-36-89;2 адресов;http://maps.yandex.ru/?text=COFFEE+CHERRY&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
COFFEE POINT;Москва, ул. Садовническая, 42, стр. 1;+7 (495) 580-91-39;1 адресов;http://maps.yandex.ru/?text=COFFEE+POINT&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
COMPASS GROUP;Москва, ул. Кулакова, 22;+7 (495) 254-91-51, +7 (495) 781-75-65, +7 (495) 781-75-64, +7 (495) 781-75-61;1 адресов;http://maps.yandex.ru/?text=COMPASS+GROUP&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
CORREA'S;Москва, ул. Садовническая, 82, стр. 2, Аврора Бизнес Парк;+7 (495) 969-21-13, +7 (495) 933-61-57;9 адресов;http://maps.yandex.ru/?text=CORREA%27S&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
COSTA COFEE;Москва, ул. Арбат, 4, стр. 1;+7 (495) 691-70-76;18 адресов;http://maps.yandex.ru/?text=COSTA+COFEE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
COSTA COFFEE;Москва, ул. Арбат, 4, стр. 1;+7 (495) 691-70-76;18 адресов;http://maps.yandex.ru/?text=COSTA+COFFEE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
COTE AZUR
COURVOISIER CAFE
CRAZY MILK
DA GIACOMO
DELAMO
DELICATESSEN;Москва, ул. Садовая-Каретная, 20, стр. 2;+7 (495) 699-39-52;1 адресов;http://maps.yandex.ru/?text=DELICATESSEN&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
DEPECHE MODE;Москва, ул. Новорязанская, 26/1;+7 (903) 503-88-11, +7 (499) 265-52-52, +7 (499) 763-33-45, +7 (499) 265-20-17, +7 (499) 265-20-18;3 адресов;http://maps.yandex.ru/?text=DEPECHE+MODE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
DIM-SAM
DISSIDENT ВИНОТЕКА
DOMINIUM;Москва, Н. Сусальный пер., 5, стр. 13;+7 (495) 504-20-32;2 адресов;http://maps.yandex.ru/?text=DOMINIUM&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
DORIAN GRAY;Москва, Кадашевская наб., 6/1;+7 (499) 238-64-01;1 адресов;http://maps.yandex.ru/?text=DORIAN+GRAY&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
DOUCET X.O.;Москва, Новинский бул., 31;+7 (495) 788-54-04;2 адресов;http://maps.yandex.ru/?text=DOUCET+X.O.&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
EAT & TALK;Москва, ул. Моховая, 7;+7 (495) 961-21-93, +7 (495) 961-21-94;1 адресов;http://maps.yandex.ru/?text=EAT+%26+TALK&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
EL PARADOR;Москва, ул. Тверская, 12/2;+7 (495) 629-36-71;1 адресов;http://maps.yandex.ru/?text=EL+PARADOR&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
EMPORIO CAFE;Москва, 1-й Тверской-Ямской пер., 18/3;+7 (495) 989-44-47, +7 (499) 251-51-45;2 адресов;http://maps.yandex.ru/?text=EMPORIO+CAFE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
FAQ-CAFE;Москва, ул. Полянка Б., 65/74, стр. 1;+7 (495) 951-52-27, +7 (499) 755-88-27;1 адресов;http://maps.yandex.ru/?text=FAQ-CAFE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
FLAT IRON;Москва, Вознесенский пер., 7;+7 (495) 937-30-77, +7 (495) 981-33-01;1 адресов;http://maps.yandex.ru/?text=FLAT+IRON&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
FORTE CLUB
GOLD CAFE;Москва, Козицкий пер., 1а, стр. 2;+7 (495) 650-27-30, +7 (495) 650-38-36;1 адресов;http://maps.yandex.ru/?text=GOLD+CAFE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
GOODMAN STEAK HOUSE;Москва, ул. Тверская, 23;+7 (495) 937-56-79, +7 (495) 775-98-88;10 адресов;http://maps.yandex.ru/?text=GOODMAN+STEAK+HOUSE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
GQ;Москва, ул. Балчуг, 5;+7 (495) 956-77-75;2 адресов;http://maps.yandex.ru/?text=GQ&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
GRAND CRU;Москва, Ленинградский просп., 50;+7 (495) 510-65-65;7 адресов;http://maps.yandex.ru/?text=GRAND+CRU&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
GRILL.RU;Москва, просп. Зеленый, 3, стр. 10;+7 (495) 775-43-43;1 адресов;http://maps.yandex.ru/?text=GRILL.RU&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
GUSTO;Москва, Алтуфьевское ш., 13, корп.2;+7 (499) 755-56-37, +7 (903) 556-96-61;1 адресов;http://maps.yandex.ru/?text=GUSTO&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
HARD ROCK CAFE
HELP - НЕ ПРОСТО БАР
HOT DOG`S;Москва, ул. Земляной Вал, 26, стр. 1;+7 (495) 917-99-86, +7 (495) 917-01-50;1 адресов;http://maps.yandex.ru/?text=HOT+DOG%60S&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
HRS;Москва, Тессинский пер., 4, стр. 1;+7 (495) 796-99-01, +7 (495) 796-99-00;1 адресов;http://maps.yandex.ru/?text=HRS&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
ICHIBAN BOSHI;Москва, ул. Красная Пресня, 22;+7 (499) 255-09-09, +7 (499) 790-03-79;2 адресов;http://maps.yandex.ru/?text=ICHIBAN+BOSHI&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
IL CUCININO;Москва, ул. Спиридоновка, 24/1;+7 (495) 691-93-98;1 адресов;http://maps.yandex.ru/?text=IL+CUCININO&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
IL PITTORE;Москва, Нахимовский просп., 45, стр. 1;+7 (499) 120-30-45;1 адресов;http://maps.yandex.ru/?text=IL+PITTORE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
IL ПАТИО;Москва, ул. Большая Ордынка, 40, стр. 4, БЦ Легион;+7 (495) 720-37-51;74 адресов;http://maps.yandex.ru/?text=IL+%D0%9F%D0%90%D0%A2%D0%98%D0%9E&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
IN ROCKY КАБАЧОК
ITAL-PIZZA;Москва, ул. Барклая, 6, стр. 3;+7 (495) 978-65-60, +7 (495) 720-10-66;1 адресов;http://maps.yandex.ru/?text=ITAL-PIZZA&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
JEROBOAM
JOHN'S;Москва, Кутузовский просп., 34, стр. 14;+7 (495) 225-52-52;18 адресов;http://maps.yandex.ru/?text=JOHN%27S&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
KALINA BAR;Москва, Новинский бул., 8, ТЦ Lotte Plaza, 21-й этаж;+7 (495) 229-55-19, +7 (495) 767-23-03;1 адресов;http://maps.yandex.ru/?text=KALINA+BAR&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
KAY;Москва, ул. Гиляровского, 4, оф. 005;+7 (926) 778-96-66;3 адресов;http://maps.yandex.ru/?text=KAY&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
KOI
LA FLEUR;Москва, Ходынский бул., 19;+7 (495) 363-51-91;1 адресов;http://maps.yandex.ru/?text=LA+FLEUR&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
LA MAREE;Москва, ул. Грузинская М., 23, стр. 1;+7 (495) 609-39-25;4 адресов;http://maps.yandex.ru/?text=LA+MAREE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
L'ALTRO BOSCO;Москва, ул. Петровка, 10;+7 (495) 623-28-70, +7 (495) 621-31-17;1 адресов;http://maps.yandex.ru/?text=L%27ALTRO+BOSCO&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
LASTAZIONI
LE CASA
LE ROI VALERY;Москва, ул. Земляной Вал, 60/28;+7 (495) 502-99-21, +7 (903) 565-28-97;1 адресов;http://maps.yandex.ru/?text=LE+ROI+VALERY&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
LIGHTE КАФЕ;Москва, ул. Каретный Ряд, 8, стр. 1;+7 (495) 699-96-42;1 адресов;http://maps.yandex.ru/?text=LIGHTE+%D0%9A%D0%90%D0%A4%D0%95&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
LOBBY CAFE
LOFT;Москва, ул. Никольская, 25;+7 (495) 933-77-14, +7 (495) 933-77-13;7 адресов;http://maps.yandex.ru/?text=LOFT&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
LOOK IN;Москва, ул. Дмитровка Б., 9, стр. 1;+7 (495) 692-62-95;1 адресов;http://maps.yandex.ru/?text=LOOK+IN&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
LOS BANDIDOS;Москва, ул. Ордынка Б., 7;+7 (495) 953-69-69, +7 (495) 953-04-66;1 адресов;http://maps.yandex.ru/?text=LOS+BANDIDOS&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
LURE;Москва, ул. Автозаводская, 17, корп.3;+7 (495) 972-58-73;1 адресов;http://maps.yandex.ru/?text=LURE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
MAISON VATEL
MAISONCAFE;Москва, Саввинский Б. пер., 12, стр. 8;+7 (925) 545-84-23, +7 (499) 246-32-40;1 адресов;http://maps.yandex.ru/?text=MAISONCAFE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
MALLINA;Москва, пл. Киевского Вокзала, 2;+7 (495) 229-26-96;2 адресов;http://maps.yandex.ru/?text=MALLINA&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
MEDITERRANEE;Москва, Дровяной Б. пер., 21/12;+7 (495) 915-57-31, +7 (495) 915-65-83;1 адресов;http://maps.yandex.ru/?text=MEDITERRANEE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
MEGAPOLIS CATERING;Москва, Дровяной Б. пер., 8, стр. 1;+7 (495) 728-60-16, +7 (495) 997-84-80, +7 (495) 915-40-60;1 адресов;http://maps.yandex.ru/?text=MEGAPOLIS+CATERING&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
MEI-HUA SERVICE
MI PIACE;Москва, ул. Чаянова, 22, стр. 4;+7 (499) 250-08-93;8 адресов;http://maps.yandex.ru/?text=MI+PIACE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
MICHAEL`S;Москва, Тверской бул., 7;+7 (495) 690-37-37;1 адресов;http://maps.yandex.ru/?text=MICHAEL%60S&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
MINIBAR;Москва, ул. Маросейка, 8;+7 (495) 623-15-17;1 адресов;http://maps.yandex.ru/?text=MINIBAR&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
MOLLY GWYNN'S;Москва, ул. Красная Пресня, 1, стр. 5;+7 (499) 255-91-04, +7 (499) 252-24-59;2 адресов;http://maps.yandex.ru/?text=MOLLY+GWYNN%27S&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
MON CAFE;Москва, ул. 1-я Тверская-Ямская, 4;+7 (499) 250-88-00, +7 (495) 250-88-00;1 адресов;http://maps.yandex.ru/?text=MON+CAFE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
M-R WONG
NABI;Московская обл., Красногорск г., ул. Железнодорожная, 1в;+7 (495) 660-07-16, +7 (929) 619-87-58;2 адресов;http://maps.yandex.ru/?text=NABI&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
NET NAME;Москва, ул. Сретенка, 36/2;+7 (495) 956-88-69, +7 (495) 231-48-21;1 адресов;http://maps.yandex.ru/?text=NET+NAME&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
NEWS CAFE;Москва, ул. Бахрушина, 32, стр. 1;+7 (495) 789-94-98;1 адресов;http://maps.yandex.ru/?text=NEWS+CAFE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
NIKITA LA GRANDE
NOSTALGIE RESTAURANT (ART CLUB)
№19 ТРЕСТА ВОЕННЫХ СТОЛОВЫХ
PAN ASIA РЕСТОРАН-БАР
PANE OLIO
PAPILLION;Москва, Романов пер., 4, стр. 4;+7 (495) 225-94-79, +7 (495) 225-94-78;1 адресов;http://maps.yandex.ru/?text=PAPILLION&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
PARTY-CLUB
PATHE;Москва, Лесной 2-й пер., 11;+7 (499) 978-48-88;1 адресов;http://maps.yandex.ru/?text=PATHE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
PIZZAEXPRESS;Москва, ул. Тверская, 17;+7 (495) 629-70-03;4 адресов;http://maps.yandex.ru/?text=PIZZAEXPRESS&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
PLASMA-HALL;Москва, ул. Мантулинская, 5/1, стр. 7;+7 (495) 259-78-70, +7 (495) 256-66-75, +7 (495) 256-26-94;1 адресов;http://maps.yandex.ru/?text=PLASMA-HALL&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
POLLY САД КАФЕ;Москва, ул. Брестская 1-я, 41, стр. 2;+7 (499) 250-25-30, +7 (495) 968-30-00;1 адресов;http://maps.yandex.ru/?text=POLLY+%D0%A1%D0%90%D0%94+%D0%9A%D0%90%D0%A4%D0%95&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
POLO CLUB
PRADO CAFE;Москва, Славянская пл., 2, стр. 1;+7 (495) 769-28-27, +7 (495) 784-69-69;1 адресов;http://maps.yandex.ru/?text=PRADO+CAFE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
PUZZEL;Москва, ул. Молодогвардейская, 58, стр. 7;+7 (495) 604-41-63, +7 (495) 543-64-42;2 адресов;http://maps.yandex.ru/?text=PUZZEL&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
ROSIE O'GRADY'S
RUBENS;Москва, ул. Фрунзенская 2-я, 2;+7 (499) 242-43-20;1 адресов;http://maps.yandex.ru/?text=RUBENS&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
SALLY O'BRIENS РЕСТОРАН-БАР;Москва, ул. Полянка Б., 1/3;+7 (495) 959-01-82, +7 (495) 959-01-75;1 адресов;http://maps.yandex.ru/?text=SALLY+O%27BRIENS+%D0%A0%D0%95%D0%A1%D0%A2%D0%9E%D0%A0%D0%90%D0%9D-%D0%91%D0%90%D0%A0&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
SCANDINAVIA
SEASONS ОСЕНЬ АРТ-КАФЕ
SECRET PLACE;Москва, Калошин пер., 4;+7 (495) 748-20-45;1 адресов;http://maps.yandex.ru/?text=SECRET+PLACE&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
SETTEBELLO;Москва, ул. Садовая-Самотёчная, 3;+7 (495) 699-30-39, +7 (495) 972-18-66;1 адресов;http://maps.yandex.ru/?text=SETTEBELLO&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
SILVER'S IRISH PUB;Москва, ул. Тверская, 5/6;+7 (495) 690-42-22;1 адресов;http://maps.yandex.ru/?text=SILVER%27S+IRISH+PUB&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
SIMPLE PLEASURES;Московская обл., Химки г., ул. Панфилова, 19, стр. 3;+7 (495) 663-92-33;3 адресов;http://maps.yandex.ru/?text=SIMPLE+PLEASURES&where=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0&results=20&z=15&l=map
